iter	Passed	Remaining
0	29	8840
1	107	16009
2	141	14003
3	164	12150
4	203	12029
5	245	12013
6	293	12287
7	341	12456
8	384	12441
9	414	12028
10	441	11589
11	487	11695
12	531	11732
13	552	11282
14	588	11173
15	616	10935
16	642	10703
17	761	11930
18	786	11628
19	873	12230
20	933	12406
21	965	12201
22	1047	12616
23	1094	12585
24	1120	12321
25	1148	12100
26	1193	12063
27	1225	11909
28	1250	11683
29	1325	11925
30	1351	11727
31	1429	11968
32	1455	11774
33	1487	11635
34	1519	11502
35	1588	11646
36	1635	11623
37	1681	11591
38	1729	11573
39	1766	11483
40	1788	11301
41	1858	11418
42	1910	11415
43	1973	11482
44	2000	11333
45	2048	11313
46	2085	11224
47	2117	11116
48	2159	11064
49	2191	10957
50	2221	10846
51	2267	10814
52	2303	10734
53	2328	10606
54	2390	10649
55	2431	10596
56	2471	10536
57	2502	10441
58	2530	10334
59	2582	10331
60	2654	10402
61	2700	10368
62	2756	10369
63	2785	10271
64	2814	10175
65	2871	10179
66	2943	10234
67	2983	10179
68	3021	10116
69	3076	10106
70	3108	10025
71	3182	10077
72	3225	10028
73	3262	9963
74	3303	9910
75	3356	9893
76	3407	9867
77	3443	9801
78	3506	9808
79	3536	9724
80	3572	9657
81	3602	9578
82	3670	9596
83	3700	9515
84	3732	9441
85	3768	9377
86	3796	9294
87	3828	9222
88	3870	9175
89	3898	9095
90	3986	9156
91	4007	9061
92	4037	8986
93	4068	8916
94	4098	8843
95	4118	8752
96	4153	8691
97	4210	8679
98	4246	8622
99	4299	8599
100	4334	8539
101	4358	8461
102	4385	8386
103	4420	8330
104	4456	8275
105	4495	8227
106	4519	8151
107	4559	8106
108	4583	8031
109	4620	7980
110	4653	7923
111	4705	7898
112	4730	7828
113	4759	7766
114	4791	7708
115	4817	7641
116	4856	7595
117	4880	7526
118	4915	7476
119	4953	7430
120	4977	7362
121	5017	7320
122	5052	7270
123	5080	7211
124	5111	7156
125	5143	7102
126	5170	7042
127	5213	7006
128	5240	6946
129	5273	6896
130	5297	6833
131	5326	6779
132	5364	6735
133	5400	6689
134	5452	6664
135	5493	6624
136	5539	6590
137	5571	6540
138	5598	6484
139	5635	6440
140	5659	6382
141	5682	6322
142	5707	6266
143	5766	6246
144	5854	6257
145	5881	6203
146	5945	6187
147	5981	6142
148	6027	6108
149	6055	6055
150	6109	6028
151	6159	5997
152	6214	5970
153	6237	5913
154	6277	5872
155	6319	5833
156	6338	5773
157	6371	5726
158	6397	5672
159	6480	5670
160	6519	5628
161	6544	5575
162	6599	5546
163	6648	5513
164	6679	5465
165	6701	5409
166	6735	5363
167	6763	5314
168	6810	5279
169	6870	5253
170	6916	5217
171	6941	5165
172	6992	5132
173	7018	5082
174	7058	5041
175	7127	5021
176	7181	4990
177	7208	4940
178	7255	4904
179	7308	4872
180	7352	4833
181	7372	4780
182	7401	4732
183	7436	4688
184	7477	4648
185	7538	4620
186	7567	4572
187	7598	4526
188	7635	4484
189	7683	4448
190	7750	4422
191	7795	4385
192	7843	4348
193	7903	4318
194	7937	4274
195	7971	4229
196	8015	4190
197	8043	4143
198	8069	4095
199	8098	4049
200	8147	4013
201	8210	3983
202	8267	3950
203	8309	3910
204	8336	3863
205	8379	3823
206	8463	3802
207	8499	3759
208	8539	3718
209	8602	3686
210	8645	3646
211	8666	3597
212	8719	3561
213	8751	3516
214	8830	3491
215	8850	3442
216	8886	3399
217	8944	3364
218	9002	3329
219	9041	3287
220	9104	3254
221	9137	3210
222	9174	3167
223	9199	3121
224	9238	3079
225	9282	3039
226	9317	2996
227	9400	2968
228	9428	2923
229	9495	2889
230	9538	2849
231	9561	2802
232	9602	2761
233	9634	2717
234	9700	2683
235	9741	2641
236	9779	2599
237	9820	2558
238	9881	2522
239	9906	2476
240	9971	2441
241	10019	2401
242	10084	2365
243	10107	2319
244	10143	2277
245	10174	2233
246	10197	2188
247	10236	2146
248	10270	2103
249	10295	2059
250	10345	2019
251	10369	1975
252	10398	1931
253	10438	1890
254	10467	1847
255	10514	1807
256	10552	1765
257	10578	1722
258	10603	1678
259	10657	1639
260	10705	1599
261	10754	1559
262	10787	1517
263	10810	1474
264	10836	1431
265	10887	1391
266	10940	1352
267	10973	1310
268	10998	1267
269	11034	1226
270	11053	1182
271	11095	1142
272	11127	1100
273	11167	1059
274	11192	1017
275	11232	976
276	11264	935
277	11305	894
278	11333	853
279	11357	811
280	11411	771
281	11436	729
282	11496	690
283	11534	649
284	11561	608
285	11610	568
286	11634	526
287	11674	486
288	11707	445
289	11756	405
290	11788	364
291	11813	323
292	11912	284
293	11936	243
294	11989	203
295	12013	162
296	12050	121
297	12081	81
298	12108	40
299	12139	0
